mean,max,min,stddev,file,scan_number,subsegment_index,mean_laser_current,bulk
1628.7256097560976,1801.0,1380.0,71.07213153357482,layer1.csv,39,0,4507.554878048781,1.0
1561.5975609756097,1768.0,1362.0,70.7878761419306,layer1.csv,39,1,4507.871951219512,1.0
1585.448484848485,1815.0,1308.0,104.08355653093604,layer1.csv,40,0,4508.127272727273,1.0
1494.5426829268292,1651.0,1326.0,63.91470598839043,layer1.csv,40,1,4508.548780487805,1.0
1605.2545454545455,1728.0,1228.0,83.17332428897042,layer1.csv,41,0,4508.109090909091,1.0
1561.3902439024391,1722.0,1405.0,75.34243064859318,layer1.csv,41,1,4509.6890243902435,1.0
1588.3757575757577,1753.0,1308.0,73.54416125518809,layer1.csv,42,0,4508.375757575757,1.0
1585.139393939394,1983.0,1298.0,119.95614840026596,layer1.csv,42,1,4509.327272727272,1.0
1666.8433734939758,1801.0,1279.0,79.65497616077576,layer1.csv,43,0,4508.692771084337,1.0
1559.321212121212,1884.0,1317.0,107.50114800676869,layer1.csv,43,1,4510.818181818182,1.0
1566.7228915662652,1810.0,1206.0,109.31272848349508,layer1.csv,44,0,4508.825301204819,1.0
1484.4,1733.0,1228.0,89.88159214244375,layer1.csv,44,1,4509.963636363636,1.0
1559.6084337349398,1743.0,1317.0,83.6667784033196,layer1.csv,45,0,4509.120481927711,1.0
1586.5963855421687,1777.0,1269.0,132.9845529083619,layer1.csv,45,1,4509.951807228916,1.0
1550.7245508982037,1743.0,1238.0,85.63427769890909,layer1.csv,46,0,4509.323353293413,1.0
1523.4156626506024,1782.0,1345.0,82.77361779500849,layer1.csv,46,1,4510.084337349397,1.0
1606.9281437125749,1810.0,1308.0,74.21586647526226,layer1.csv,47,0,4509.359281437126,1.0
1560.7784431137725,1841.0,1259.0,132.3715692649744,layer1.csv,47,1,4510.862275449102,1.0
1374.1369047619048,1578.0,1060.0,103.84345622109903,layer1.csv,48,0,4509.458333333333,1.0
1423.5808383233532,1646.0,1238.0,84.66936959609544,layer1.csv,48,1,4510.790419161676,1.0
1337.0357142857142,1712.0,1046.0,170.24735830609555,layer1.csv,49,0,4509.585714285714,1.0
1099.3714285714286,1413.0,892.0,102.77620228001247,layer1.csv,49,1,4511.907142857143,1.0
1298.157894736842,1539.0,909.0,126.00080610626075,layer1.csv,50,0,4503.403508771929,1.0
1352.7543859649122,1511.0,1184.0,88.67133888925122,layer1.csv,50,1,4504.561403508772,1.0
1349.2142857142858,1475.0,1217.0,63.48838878254891,layer1.csv,50,2,4502.428571428572,1.0
1326.5357142857142,1497.0,1228.0,62.227969218521224,layer1.csv,50,3,4500.839285714285,1.0
1407.7962962962963,1616.0,670.0,136.20002261057846,layer1.csv,51,0,4500.833333333333,1.0
1493.7345679012346,1651.0,1345.0,64.56614879712359,layer1.csv,51,1,4502.83950617284,1.0
1533.648148148148,1768.0,1269.0,87.56263875904602,layer1.csv,52,0,4504.228395061728,1.0
1446.2283950617284,1663.0,1289.0,86.29158683876759,layer1.csv,52,1,4507.419753086419,1.0
1555.3395061728395,1722.0,1308.0,78.96929889303418,layer1.csv,53,0,4506.648148148148,1.0
1521.329192546584,1680.0,1336.0,73.96178099813675,layer1.csv,53,1,4508.527950310559,1.0
1634.72049689441,1947.0,1362.0,101.90210935224219,layer1.csv,54,0,4508.527950310559,1.0
1504.9565217391305,1701.0,1238.0,90.4574535606209,layer1.csv,54,1,4510.8633540372675,1.0
1620.8260869565217,1796.0,1217.0,97.31727998699394,layer1.csv,55,0,4509.111801242236,1.0
1537.552795031056,1753.0,1326.0,98.72094434534269,layer1.csv,55,1,4511.124223602485,1.0
1564.7888198757764,1810.0,1298.0,102.46680480128647,layer1.csv,56,0,4509.335403726708,1.0
1533.6125,1696.0,1371.0,72.67693818364943,layer1.csv,56,1,4511.825,1.0
1560.53125,1815.0,1018.0,107.05599713905569,layer1.csv,57,0,4509.85625,1.0
1594.725,1773.0,1413.0,83.90351229239452,layer1.csv,57,1,4511.30625,1.0
1620.1875,1908.0,1206.0,118.7351141985807,layer1.csv,58,0,4510.7625,1.0
1527.88125,1773.0,1137.0,129.3741846290731,layer1.csv,58,1,4511.35625,1.0
1529.89375,1738.0,989.0,131.48686231307485,layer1.csv,59,0,4510.5375,1.0
1575.7295597484276,1782.0,1326.0,91.21794245428002,layer1.csv,59,1,4512.955974842767,1.0
1624.4088050314465,1758.0,1445.0,54.63926455075619,layer1.csv,60,0,4511.0,1.0
1535.062893081761,1850.0,1354.0,104.0103820129166,layer1.csv,60,1,4513.018867924528,1.0
1555.7798742138364,1787.0,1137.0,103.96326442388057,layer1.csv,61,0,4510.974842767296,1.0
